p_true,hpd_width_threshold,mean_sample_size,median_sample_size,coverage_rate,mean_hpd_width,mean_absolute_error,median_absolute_error,mean_relative_error,mean_successes,stop_rate
1e-4,1e-4,10000,10000,0.975,4.636076697621701e-4,1.0467266546690661e-4,9.996000799840031e-5,1.0467266546690661,1.047,0
1e-4,0.001,3564.464,2995,0.993,9.99813173852863e-4,2.6317925068794224e-4,2.3366700033366702e-4,2.631792506879423,0.354,1
1e-4,0.01,303.297,298,0.999,0.009973051890827162,0.003261140797639921,0.0032333333333333337,32.611407976399214,0.031,1
1e-4,0.1,28.051,28,0.997,0.09817812155036525,0.033260992907801414,0.03323333333333333,332.6099290780141,0.003,1
0.001,1e-4,10000,10000,0.946,0.0012464668838749586,2.597336532693461e-4,2.0015996800639877e-4,0.2597336532693461,9.988,0
0.001,0.001,9346.56,10000,0.934,0.0012459601672453382,2.881881555163151e-4,2.0015996800639877e-4,0.28818815551631505,9.304,0.193
0.001,0.01,356.39,298,0.996,0.009976720022794252,0.0026382389068077723,0.0023333333333333335,2.638238906807772,0.364,1
0.001,0.1,28.404,28,0.977,0.09818556240971914,0.032552836879432626,0.03233333333333333,32.55283687943262,0.024,1
0.01,1e-4,10000,10000,0.942,0.0039040218729540733,8.215876824635073e-4,6.978604279144172e-4,0.08215876824635074,100.13,0
0.01,0.001,10000,10000,0.953,0.003901527647423959,7.970405918816236e-4,6.978604279144172e-4,0.07970405918816238,99.98,0
0.01,0.01,1391.327,1478,0.927,0.009995108826632649,0.0023029114594295044,0.0019318181818181821,0.23029114594295044,13.847,1
0.01,0.1,32.674,28,0.989,0.09829304975779278,0.02589808387038303,0.02333333333333333,2.5898083870383024,0.294,1
0.1,1e-4,10000,10000,0.953,0.011761694641429796,0.0024036992601479696,0.0020495900819836044,0.0240369926014797,1000.757,0
0.1,0.001,10000,10000,0.953,0.011755445959642181,0.0023436312737452514,0.001979604079184155,0.02343631273745251,999.547,0
0.1,0.01,10000,10000,0.955,0.011756470610975806,0.0023312737452509495,0.001919616076784647,0.0233127374525095,999.747,0
0.1,0.1,122.978,130,0.888,0.09951328726739435,0.023668208514857642,0.01743119266055046,0.23668208514857642,12.201,1
0.5,1e-4,10000,10000,0.962,0.019595375688304193,0.0038675264947010614,0.0031993601279743933,0.007735052989402123,4997.397,0
0.5,0.001,10000,10000,0.955,0.01959539493802522,0.0038040391921615687,0.0031993601279743933,0.0076080783843231374,5000.314,0
0.5,0.01,10000,10000,0.947,0.019595290661818653,0.003984103179364129,0.003299340131973638,0.007968206358728257,5000.267,0
0.5,0.1,380.244,381,0.952,0.09993564152714464,0.02014341162138764,0.016971279373368175,0.04028682324277528,190.416,1
